指标编号,指标名称,模块,性质,经济含义/定义,单位,统计对象/范围,频率,时点/期间,存量/流量,价格口径,当期/累计,来源编号,原文定位,历史覆盖证据,更新规律,口径断点/修订,公式（文字定义）,输入指标,适用条件,对应体系,问题编号,可能解释,配套证据,误读风险,共享证据组,维度范围,原文链接
A030,农民工总量,劳动力流动,公开发布,年内达到6个月从业标准的本地非农和外出农民工人数。,万人,农村户籍农民工,年度,期间,存量,不适用,全年,A_S03,一综合；注8,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,本轮未核验额外断点；不表示历史从无修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,G；K,K3；G1,劳动力跨地域和非农配置规模。,农民工收入；行业就业,是年度达到从业条件的人数，不能当年末人口；不是农村居民总数。,EG-A_S03,全国：已覆盖（农村户籍农民工）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（本地农民工；外出农民工）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
A031,制造业采购经理指数PMI,订单生产价格就业,公开发布,合成新订单、生产、从业、配送及原料库存的加权扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表1及附注4；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1,制造业总体环比景气。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：已覆盖（大型；中型；小型）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A032,制造业PMI生产指数,订单生产价格就业,公开发布,采购经理对本月生产相对上月变化的扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表1生产列；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1,生产扩张或收缩广度。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A033,制造业PMI新订单指数,订单生产价格就业,公开发布,新订单相对上月变化的扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表1新订单列；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1,近期订单需求广度。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A034,制造业PMI新出口订单指数,订单生产价格就业,公开发布,新出口订单变化的扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表2新出口订单列；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1,外需订单方向。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A035,制造业PMI从业人员指数,订单生产价格就业,公开发布,企业从业人员变化的扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表1从业人员列；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1；K3,企业用工景气。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A036,制造业PMI主要原材料购进价格指数,订单生产价格就业,公开发布,原材料购入价格变化的扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表2购进价格列；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1,投入成本上涨或下降的企业覆盖面。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A037,制造业PMI出厂价格指数,订单生产价格就业,公开发布,产品出厂价格变化的扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表2出厂价格列；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1,产品价格变化的企业覆盖面。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A038,制造业PMI产成品库存指数,订单生产价格就业,公开发布,产成品库存量变化的扩散指数。,%（扩散指数点）,制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表2产成品库存列；附注1—5,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,样本及季调会调整，跨历史版本须记录；2025样本3200家。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1,库存方向；需结合订单区分主动或被动。,工业增加值；订单；价格；就业,50为与上月相比的分界；指数51不是产量/价格增加1%；季调而非同比。,EG-A_S06,全国：已覆盖（制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（制造业合计）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
A039,非制造业商务活动指数,服务与建筑活动,公开发布,非制造业企业商务活动相对上月的扩散指数。,%（扩散指数点）,非制造业调查企业,月度,比率,扩散指数,不适用,当期,A_S06,表3商务活动；正文分行业；附注4,表1—4实际列2024年12月至2025年12月；明确月度调查。,月度,2025样本4300家；季调可修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1；K3,服务和建筑总体活动广度。,服务业生产；建筑投资,不是一个与制造业PMI同构的五分项合成指数。,EG-A_S06,全国：已覆盖（非制造业调查企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（建筑业；服务业）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html
